text,label,length,Word_Count
stopped late may bank holiday rick steve recommendation loved,1,15,9
selection menu great price,1,12,4
getting angry want damn pho,0,11,5
potato like rubber could tell made ahead time kept warmer,0,22,10
cashier care ever say still ended wayyy overpriced,0,21,8
tried cape cod ravoli chicken cranberry mmmm,1,8,7
disgusted pretty sure human hair,0,12,5
shocked sign indicate cash,0,9,4
waitress little slow service,0,7,4
place worth time let alone vega,0,10,6
could care le interior beautiful,1,9,5
right red velvet cake ohhh stuff good,1,10,7
never brought salad asked,0,9,4
hole wall great mexican street taco friendly staff,1,13,8
took hour get food table restaurant food luke warm sever running around like totally overwhelmed,0,27,15
also combo like burger fry beer decent deal,1,17,8
found place accident could happier,1,12,5
seems like good quick place grab bite familiar pub food favor look elsewhere,0,23,13
overall like place lot,1,7,4
redeeming quality restaurant inexpensive,1,13,4
ample portion good price,1,5,4
poor service waiter made feel like stupid every time came table,0,18,11
first visit hiro delight,1,8,4
deal good enough would drag establishment,0,15,6
hard judge whether side good grossed melted styrofoam want eat fear getting sick,0,28,13
positive note server attentive provided great service,1,13,7
frozen puck disgust worst people behind register,0,13,7
thing like prime rib dessert section,1,13,6
bad food damn generic,0,9,4
burger good beef cooked right,1,8,5
want sandwich go firehouse,1,10,4
side greek salad greek dressing tasty pita hummus refreshing,1,19,9
ordered duck rare pink tender inside nice char outside,1,21,9
came running u realized husband left sunglass table,1,17,8
horrible attitude towards customer talk one customer enjoy food,0,18,9
loved friendly server great food wonderful imaginative menu,1,9,8
heart attack grill downtown vega absolutely flat lined excuse restaurant,0,15,10
much seafood like string pasta bottom,0,12,6
salad right amount sauce power scallop perfectly cooked,1,19,8
ripped banana ripped petrified tasteless,0,11,5
least think refill water struggle wave minute,0,17,7
place receives star appetizer,1,7,4
great food service huge portion give military discount,1,12,8
always great time do gringo,1,7,5
update went back second time still amazing,1,13,7
got food apparently never heard salt batter fish chewy,0,20,9
great way finish great,1,7,4
deal included tasting drink jeff went beyond expected,1,17,8
really really good rice time,1,8,5
took min get milkshake nothing chocolate milk,0,16,7
guess known place would suck inside excalibur use common sense,0,25,10
scallop dish quite appalling value well,0,10,6
time bad customer service,0,8,4
sweet potato fry good seasoned well,1,10,6
today second time lunch buffet pretty good,1,16,7
much good food vega feel cheated wasting eating opportunity going rice company,0,23,12
coming like experiencing underwhelming relationship party wait person ask break,0,22,10
walked place smelled like old grease trap others eating,0,17,9
turkey roast beef bland,0,7,4
pan cake everyone raving taste like sugary disaster tailored palate six year old,0,21,13
love pho spring roll oh yummy try,1,15,7
poor batter meat ratio made chicken tender unsatisfying,0,12,8
summary largely disappointing dining experience,0,9,5
like really sexy party mouth outrageously flirting hottest person party,1,20,10
never hard rock casino never ever step forward,0,15,8
say bye bye tip lady,0,7,5
side cafe serf really good food,1,10,6
server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go,1,28,15
good thing waiter helpful kept bloddy mary coming,1,17,8
best buffet town price beat,1,11,5
loved mussel cooked wine reduction duck tender potato dish delicious,1,19,10
went tigerlilly fantastic afternoon,1,10,4
food delicious bartender attentive personable got great deal,1,16,8
ambience wonderful music playing,1,9,4
go back next trip,1,6,4
real sushi lover let honest yama good,0,12,7
least min passed u ordering food arriving busy,0,17,8
really fantastic thai restaurant definitely worth visit,1,13,7
kind hard mess steak,0,11,4
although much liked look sound place actual experience bit disappointing,0,19,10
know place managed served blandest food ever eaten preparing indian cuisine,0,23,11
worst service boot least worry,0,12,5
service fine waitress friendly,1,8,4
guy steak steak loving son steak best worst place said best steak ever eaten,1,29,14
thought venture away get good sushi place really hit spot night,1,21,11
host staff lack better word bitch,0,10,6
bland liking place number reason want waste time bad reviewing leave,0,26,11
phenomenal food service ambiance,1,5,4
definitely worth venturing strip pork belly return next time vega,1,17,10
place way overpriced mediocre food,0,9,5
good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,1,24,15
delicious nyc bagel good selection cream cheese real lox caper even,1,13,11
great subway fact good come every subway meet expectation,1,19,9
one best bar food vega,1,11,5
extremely rude really many restaurant would love dine weekend vega,0,23,10
drink never empty made really great menu suggestion,1,13,8
waiter helpful friendly rarely checked u,0,11,6
husband ate lunch disappointed food service,0,16,6
red curry much bamboo shoot tasty,0,15,6
nice blanket moz top feel like done cover subpar food,1,19,10
bathroom clean place well decorated,1,11,5
menu always changing food quality going service extremely slow,0,15,9
service little slow considering served people server food coming slow pace,0,24,11
watched waiter pay lot attention table ignore u,0,15,8
fianc came middle day greeted seated right away,1,19,8
great restaurant mandalay bay,1,9,4
waited forty five minute vain,0,8,5
crostini came salad stale,0,8,4
highlight great quality nigiri,1,7,4
staff friendly joint always clean,1,10,5
different cut piece day still wonderful tender well well flavored,1,21,10
ordered voodoo pasta first time really excellent pasta since going gluten free several year ago,1,23,15
unfortunately must hit bakery leftover day everything ordered stale,0,16,9
came back today since relocated still impressed,0,11,7
menu diverse reasonably priced,1,7,4
restaurant always full never wait,1,8,5
place hand one best place eat phoenix metro area,1,16,9
go looking good food,0,11,4
also ordered spinach avocado salad ingredient sad dressing literally zero taste,0,19,11
really vega fine dining used right menu handed lady price listed,1,24,11
lordy khao soi dish missed curry lover,1,16,7
everything menu terrific also thrilled made amazing accommodation vegetarian daughter,1,20,10
perhaps caught night judging review inspired go back,0,20,8
service leaf lot desired,0,9,4
atmosphere modern hip maintaining touch coziness,1,12,6
weekly haunt definitely place come back every,1,17,7
literally sat minute one asking take order,0,15,7
burger absolutely flavor meat totally bland burger overcooked charcoal flavor,0,23,10
also decided send back waitress looked like verge heart attack,0,23,10
love place hit spot want something healthy lacking quantity flavor,1,18,10
ordered lemon raspberry ice cocktail also incredible,1,11,7
food sucked expected sucked could imagined,0,15,6
really like crepe station,1,9,4
also served hot bread butter home made potato chip bacon bit top original good,1,21,14
watch preparing delicious food,1,8,4
order arrived one gyro missing,0,10,5
salad wing ice cream dessert left feeling quite satisfied,1,18,9
really sure joey voted best hot dog valley reader phoenix magazine,0,19,11
best place go tasty bowl pho,1,11,6
live music friday totally blow,0,7,5
never insulted felt disrespected,0,8,4
heard good thing place exceeding every hope could dreamed,1,18,9
lived since first last time stepped foot place,0,19,8
side delish mixed mushroom yukon gold puree white corn beateous,1,14,10
bug never showed would given sure side wall bug climbing kitchen,0,30,11
minute waiting salad realized coming time soon,0,20,7
friend loved salmon tartar,1,6,4
food rich order accordingly,1,8,4
shower area outside rinse take full shower unless mind nude everyone see,0,25,12
lobster bisque bussell sprout risotto filet needed salt pepper course none table,0,19,12
hopefully bodes going business someone cook come,0,17,7
either cold enough flavor bad,0,11,5
loved bacon wrapped date,1,6,4
folk otto always make u feel welcome special,1,12,8
place first pho amazing,1,13,4
wonderful experience made place must stop whenever town,1,14,8
food bad enough enjoy dealing world worst annoying drunk people,0,17,10
ordered double cheeseburger got single patty falling apart picture uploaded yeah still suck,0,18,13
great place couple drink watch sporting event wall covered tv,1,21,10
possible give zero star,0,12,4
